Nom,Cores,Potència,Caché
AMD Ryzen™ 3 PRO 2300U,4,Up to 3.4 GHz,"Max. Boost Clock: ""Up to 4.3 GHz"","
AMD Ryzen™ 7 2800H,4,Up to 3.8 GHz,"L3 Cache: ""64 MB"""
AMD Ryzen™ 7 2700U,4,Up to 3.8 GHz,"},"
AMD Ryzen™ 5 2600H,4,Up to 3.6 GHz,{
AMD Ryzen™ 5 2500U,4,Up to 3.6 GHz,"Name: ""AMD Ryzen™ 9 3900XT"","
AMD Ryzen™ 3 2300U,4,Up to 3.4 GHz,"# of CPU Cores: ""12"","
7th Gen AMD PRO A12-9800E APU,4,Up to 3.8 GHz,"Max. Boost Clock: ""Up to 4.7 GHz"","
7th Gen AMD PRO A12-9800 APU,4,Up to 4.2 GHz,"L3 Cache: ""64 MB"""
6th Gen AMD PRO A12-8870E APU,4,Up to 3.8 GHz,"},"
6th Gen AMD PRO A12-8870 APU,4,Up to 4.2 GHz,{
7th Gen AMD PRO A12-9830B APU,4,Up to 3.7 GHz,"Name: ""AMD Ryzen™ 9 3900X"","
7th Gen AMD PRO A12-9800B APU,4,Up to 3.6 GHz,"# of CPU Cores: ""12"","
6th Gen AMD PRO A12-8830B APU,4,Up to 3.4 GHz,"Max. Boost Clock: ""Up to 4.6 GHz"","
6th Gen AMD PRO A12-8800B APU,4,Up to 3.4 GHz,"L3 Cache: ""64 MB"""
A10-7890K with Radeon™ R7 Graphics and Wraith cooler,4,Up to 4.3 GHz,"},"
7th Gen AMD PRO A10-9700 APU,4,Up to 3.8 GHz,{
6th Gen AMD PRO A10-8850B APU,4,Up to 4.1 GHz,"Name: ""AMD Ryzen™ 9 3900 Processor (OEM Only)"","
6th Gen AMD PRO A10-8770E APU,4,Up to 3.5 GHz,"# of CPU Cores: ""12"","
6th Gen AMD PRO A10-8770 APU,4,Up to 3.8 GHz,"Max. Boost Clock: ""Up to 4.3 GHz"","
6th Gen AMD PRO A10-8750B APU,4,Up to 4 GHz,"L3 Cache: ""64 MB"""
7th Gen AMD PRO A10-9700B APU,4,Up to 3.4 GHz,"},"
6th Gen AMD PRO A10-8730B APU,4,Up to 3.3 GHz,{
6th Gen AMD PRO A10-8700B APU,4,Up to 3.2 GHz,"Name: ""AMD Ryzen™ AI 9 365"","
7th Gen AMD PRO A8-9600 APU,4,Up to 3.4 GHz,"# of CPU Cores: ""10"","
6th Gen AMD PRO A8-8650B APU,4,Up to 3.9 GHz,"Max. Boost Clock: ""Up to 5 GHz"","
A8 PRO-7600B with Radeon™ R7 Graphics,4,Up to 3.8 GHz,"L3 Cache: ""24 MB"""
7th Gen AMD PRO A8-9630B,4,Up to 3.3 GHz,"},"
7th Gen AMD PRO A8-9600B APU,4,Up to 3.3 GHz,{
6th Gen AMD PRO A8-8600B APU,4,Up to 3 GHz,"Name: ""AMD Ryzen™ 7 9700X"","
A8 PRO-7150B with Radeon™ R5 Graphics,4,Up to 3.2 GHz,"# of CPU Cores: ""8"","
A4 PRO-3350B with Radeon™ R4 Graphics,4,Up to 2.4 GHz,"Max. Boost Clock: ""Up to 5.5 GHz"","
A4 PRO-3340B with Radeon™ HD 8240 Graphics,4,,"L3 Cache: ""32 MB"""
7th Gen AMD Athlon™ X4 970,4,Up to 4 GHz,"},"
7th Gen AMD Athlon™ X4 950,4,Up to 3.8 GHz,{
7th Gen AMD Athlon™ X4 940,4,Up to 3.6 GHz,"Name: ""AMD Ryzen™ 9 PRO 8945HS"","
880K with Near Silent Thermal Solution,4,Up to 4.2 GHz,"# of CPU Cores: ""8"","
870K with Near Silent Thermal Solution,4,Up to 4.1 GHz,"Max. Boost Clock: ""Up to 5.2 GHz"","
860K with Near Silent Thermal Solution,4,Up to 4 GHz,"L3 Cache: ""16 MB"""
AMD Athlon™ 860K,4,Up to 4 GHz,"},"
845 with Near Silent Thermal Solution,4,Up to 3.8 GHz,{
AMD Athlon™ 760K,4,Up to 4.1 GHz,"Name: ""AMD Ryzen™ 7 PRO 8840U"","
AMD Athlon™ 750K,4,Up to 4 GHz,"# of CPU Cores: ""8"","
AMD Athlon™ 750,4,Up to 4 GHz,"Max. Boost Clock: ""Up to 5.1 GHz"","
AMD Athlon™ 740,4,Up to 3.7 GHz,"L3 Cache: ""16 MB"""
AMD Athlon™ 631,4,,"},"
AMD Athlon™ 620e,4,,{
AMD Ryzen™ 3 8440U,4,Up to 4.7 GHz,"Name: ""AMD Ryzen™ 7 PRO 8845HS"","
AMD Ryzen™ 3 PRO 7330U,4,Up to 4.3 GHz,"# of CPU Cores: ""8"","
AMD Ryzen™ 3 PRO 5475U,4,Up to 4.1 GHz,"Max. Boost Clock: ""Up to 5.1 GHz"","
AMD Ryzen™ 3 PRO 5450U,4,Up to 4 GHz,"L3 Cache: ""16 MB"""
AMD Ryzen™ 3 PRO 5350GE,4,Up to 4.2 GHz,"},"
AMD Ryzen™ 3 PRO 5350G,4,Up to 4.2 GHz,{
AMD Ryzen™ 5 5500H,4,Up to 4.2 GHz,"Name: ""AMD Ryzen™ 7 PRO 8840HS"","
AMD Ryzen™ 3 5300GE (OEM Only),4,Up to 4.2 GHz,"# of CPU Cores: ""8"","
AMD Ryzen™ 3 5300G (OEM Only),4,Up to 4.2 GHz,"Max. Boost Clock: ""Up to 5.1 GHz"","
AMD Ryzen™ 3 PRO 4355GE,4,Up to 4 GHz,"L3 Cache: ""16 MB"""
AMD Ryzen™ 3 PRO 4355G,4,Up to 4 GHz,"},"
AMD Ryzen™ 3 PRO 4350GE,4,Up to 4 GHz,{
AMD Ryzen™ 3 PRO 4350G,4,Up to 4 GHz,"Name: ""AMD Ryzen™ 7 PRO 8700GE"","
AMD Ryzen™ 3 4300GE (OEM Only),4,Up to 4 GHz,"# of CPU Cores: ""8"","
AMD Ryzen™ 3 4300G (OEM Only),4,Up to 4 GHz,"Max. Boost Clock: ""Up to 5.1 GHz"","
AMD Ryzen™ 3 4100,4,Up to 4 GHz,"L3 Cache: ""16 MB"""
AMD Ryzen™ 7 PRO 3700U,4,Up to 4 GHz,"},"
AMD Ryzen™ 5 PRO 3500U,4,Up to 3.7 GHz,{
AMD Ryzen™ 5 PRO 3400GE,4,Up to 4 GHz,"Name: ""AMD Ryzen™ 7 PRO 8700G"","
AMD Ryzen™ 5 PRO 3400G,4,Up to 4.2 GHz,"# of CPU Cores: ""8"","
AMD Ryzen™ 5 PRO 3350GE,4,Up to 3.9 GHz,"Max. Boost Clock: ""Up to 5.1 GHz"","
AMD Ryzen™ 5 PRO 3350G,4,Up to 4 GHz,"L3 Cache: ""16 MB"""
AMD Ryzen™ 3 PRO 3300U,4,Up to 3.5 GHz,"},"
AMD Ryzen™ 3 PRO 3200GE,4,Up to 3.8 GHz,{
AMD Ryzen™ 3 PRO 3200G,4,Up to 4 GHz,"Name: ""AMD Ryzen™ 9 8945HS"","
AMD Ryzen™ 5 3400GE (OEM Only),4,Up to 4 GHz,"# of CPU Cores: ""8"","
AMD Ryzen™ 5 3400G with Radeon™ RX Vega 11 Graphics,4,Up to 4.2 GHz,"Max. Boost Clock: ""Up to 5.2 GHz"","
AMD Ryzen™ 3 3300X,4,Up to 4.3 GHz,"L3 Cache: ""16 MB"""
AMD Ryzen™ 3 3200GE (OEM Only),4,Up to 3.8 GHz,"},"
AMD Ryzen™ 3 3200G with Radeon™ Vega 8 Graphics,4,Up to 4 GHz,{
AMD Ryzen™ 3 3100,4,Up to 3.9 GHz,"Name: ""AMD Ryzen™ 7 8845HS"","
AMD Athlon™ Gold PRO 3150GE,4,Up to 3.8 GHz,"# of CPU Cores: ""8"","
AMD Athlon™ Gold PRO 3150G,4,Up to 3.9 GHz,"Max. Boost Clock: ""Up to 5.1 GHz"","
AMD Athlon™ Gold 3150GE (OEM Only),4,Up to 3.8 GHz,"L3 Cache: ""16 MB"""
AMD Athlon™ Gold 3150G (OEM Only),4,Up to 3.9 GHz,"},"
AMD Ryzen™ 5 PRO 2400GE with Radeon™ Vega 11 Graphics,4,Up to 3.8 GHz,{
AMD Ryzen™ 5 PRO 2400G with Radeon™ Vega 11 Graphics,4,Up to 3.9 GHz,"Name: ""AMD Ryzen™ 7 8840U"","
AMD Ryzen™ 3 PRO 2200GE with Radeon™ Vega 8 Graphics,4,Up to 3.6 GHz,"# of CPU Cores: ""8"","
AMD Ryzen™ 3 PRO 2200G with Radeon™ Vega 8 Graphics,4,Up to 3.7 GHz,"Max. Boost Clock: ""Up to 5.1 GHz"","
AMD Ryzen™ 5 2500X,4,Up to 4 GHz,"L3 Cache: ""16 MB"""
AMD Ryzen™ 5 2400GE with Radeon™ RX Vega 11 Graphics,4,Up to 3.8 GHz,"},"
AMD Ryzen™ 5 2400G with Radeon™ RX Vega 11 Graphics,4,Up to 3.9 GHz,{
AMD Ryzen™ 3 2300X,4,Up to 4 GHz,"Name: ""AMD Ryzen™ 7 8840HS"","
AMD Ryzen™ 3 2200GE with Radeon™ Vega 8 Graphics,4,Up to 3.6 GHz,"# of CPU Cores: ""8"","
AMD Ryzen™ 3 2200G with Radeon™ Vega 8 Graphics,4,Up to 3.7 GHz,"Max. Boost Clock: ""Up to 5.1 GHz"","
AMD Ryzen™ 5 PRO 1500,4,Up to 3.7 GHz,"L3 Cache: ""16 MB"""
AMD Ryzen™ 3 PRO 1300,4,Up to 3.7 GHz,"},"
AMD Ryzen™ 3 PRO 1200,4,Up to 3.4 GHz,{
AMD Ryzen™ 5 1500X,4,Up to 3.7 GHz,"Name: ""AMD Ryzen™ 7 8700G"","
AMD Ryzen™ 5 1400,4,Up to 3.4 GHz,"# of CPU Cores: ""8"","
AMD Ryzen™ 3 1300X,4,Up to 3.7 GHz,"Max. Boost Clock: ""Up to 5.1 GHz"","
AMD Ryzen™ 3 1200,4,Up to 3.4 GHz,"L3 Cache: ""16 MB"""
FX-4350,4,Up to 4.3 GHz,"},"
FX-4320,4,Up to 4.1 GHz,{
FX-4300,4,Up to 4 GHz,"Name: ""AMD Ryzen™ 7 8700F"","
FX-4170,4,Up to 4.3 GHz,"# of CPU Cores: ""8"","
FX-4130,4,Up to 3.9 GHz,"Max. Boost Clock: ""Up to 5 GHz"","
FX-4100,4,Up to 3.8 GHz,"L3 Cache: ""16 MB"""
7th Gen FX™ 9830P APU,4,Up to 3.7 GHz,"},"
7th Gen FX™ 9800P APU,4,Up to 3.6 GHz,{
6th Gen FX-8800P APU,4,Up to 3.4 GHz,"Name: ""AMD Ryzen™ 9 PRO 7940HS"","
FX-7600P with Radeon™ R7 Graphics,4,Up to 3.6 GHz,"# of CPU Cores: ""8"","
FX-7500 with Radeon™ R7 Graphics,4,Up to 3.3 GHz,"Max. Boost Clock: ""Up to 5.2 GHz"","
FX-8800P with Radeon™ R7 Graphics,4,Up to 3.4 GHz,"L3 Cache: ""16 MB"""
7th Gen A12-9800E APU,4,Up to 3.8 GHz,"},"
7th Gen A12-9800 APU,4,Up to 4.2 GHz,{
7th Gen A12-9730P APU,4,Up to 3.5 GHz,"Name: ""AMD Ryzen™ 7 PRO 7840U"","
7th Gen A12-9700P APU,4,Up to 3.4 GHz,"# of CPU Cores: ""8"","
7th Gen A10-9700E APU,4,Up to 3.5 GHz,"Max. Boost Clock: ""Up to 5.1 GHz"","
7th Gen A10-9700 APU,4,Up to 3.8 GHz,"L3 Cache: ""16 MB"""
A10-7870K with Radeon™ R7 Series,4,Up to 4.1 GHz,"},"
A10-7870K with Radeon™ R7 Graphics and Near Silent Thermal Solution,4,Up to 4.1 GHz,{
A10-7860K with Radeon™ R7 Series,4,Up to 4 GHz,"Name: ""AMD Ryzen™ 7 PRO 7840HS"","
A10-7860K with Radeon™ R7 Graphics and Near Silent Thermal Solution,4,Up to 4 GHz,"# of CPU Cores: ""8"","
A10-7850K with Radeon™ R7 Series,4,Up to 4 GHz,"Max. Boost Clock: ""Up to 5.1 GHz"","
A10-7800 with Radeon™ R7 Series,4,Up to 3.9 GHz,"L3 Cache: ""16 MB"""
A10-7700K with Radeon™ R7 Series,4,Up to 3.8 GHz,"},"
A10-6800K with Radeon™ HD 8670D,4,Up to 4.4 GHz,{
A10-6790K with Radeon™ HD 8670D,4,Up to 4.3 GHz,"Name: ""AMD Ryzen™ 7 PRO 7735U"","
A10-6700T with Radeon™ HD 8650D,4,Up to 3.5 GHz,"# of CPU Cores: ""8"","
A10-6700 with Radeon™ HD 8670D,4,Up to 4.3 GHz,"Max. Boost Clock: ""Up to 4.75 GHz"","
7th Gen A10-9630P APU,4,Up to 3.3 GHz,"L3 Cache: ""16 MB"""
7th Gen A10-9600P APU,4,Up to 3.3 GHz,"},"
6th Gen A10-8700P APU,4,Up to 3.2 GHz,{
A10-7400P with Radeon™ R6 Graphics,4,Up to 3.4 GHz,"Name: ""AMD Ryzen™ 9 7940HS"","
A10-7300 with Radeon™ R6 Graphics,4,Up to 3.2 GHz,"# of CPU Cores: ""8"","
A10 Micro-6700T with Radeon™ R6 Graphics,4,,"Max. Boost Clock: ""Up to 5.2 GHz"","
A10-8700P with Radeon™ R6 Graphics,4,Up to 3.2 GHz,"L3 Cache: ""16 MB"""
7th Gen AMD PRO A10-9700E APU,4,Up to 3.5 GHz,"},"
A10 PRO-7850B with Radeon™ R7 Graphics,4,Up to 4 GHz,{
A10 PRO-7800B with Radeon™ R7 Graphics,4,Up to 3.9 GHz,"Name: ""AMD Ryzen™ 7 7840U"","
7th Gen AMD PRO A10-9730B APU,4,Up to 3.5 GHz,"# of CPU Cores: ""8"","
A10 PRO-7350B with Radeon™ R6 Graphics,4,Up to 3.3 GHz,"Max. Boost Clock: ""Up to 5.1 GHz"","
A10-6800B with Radeon™ HD 8670D,4,Up to 4.4 GHz,"L3 Cache: ""16 MB"""
A10-6790B with Radeon™ HD 8670D,4,Up to 4.3 GHz,"},"
7th Gen A8-9600 APU,4,Up to 3.4 GHz,{
A8-7670K with Radeon™ R7 Graphics and Near Silent Thermal Solution,4,Up to 3.9 GHz,"Name: ""AMD Ryzen™ 7 7840HS"","
A8-7650K with Radeon™ R7 Series,4,Up to 3.8 GHz,"# of CPU Cores: ""8"","
A8-7650K with Radeon™ R7 Graphics and Near Silent Thermal Solution,4,Up to 3.8 GHz,"Max. Boost Clock: ""Up to 5.1 GHz"","
A8-7600 with Radeon™ R7 Series,4,Up to 3.8 GHz,"L3 Cache: ""16 MB"""
A8-6600K with Radeon™ HD 8570D,4,Up to 4.2 GHz,"},"
A8-6500T with Radeon™ HD 8550D,4,Up to 3.1 GHz,{
A8-6500 with Radeon™ HD 8570D,4,Up to 4.1 GHz,"Name: ""AMD Ryzen™ 7 7800X3D"","
6th Gen A8-8600P APU,4,Up to 3 GHz,"# of CPU Cores: ""8"","
A8-7410 with Radeon™ R5 Graphics,4,Up to 2.5 GHz,"Max. Boost Clock: ""Up to 5 GHz"","
A8-7200P with Radeon™ R5 Graphics,4,Up to 3.3 GHz,"L3 Cache: ""96 MB"""
A8-7100 with Radeon™ R5 Graphics,4,Up to 3 GHz,"},"
A8-8600P with Radeon™ R6 Graphics,4,Up to 3 GHz,{
A8-6410 with Radeon™ R5 Graphics,4,Up to 2.4 GHz,"Name: ""AMD Ryzen™ 7 7745HX"","
A8-6500B with Radeon™ HD 8570D,4,Up to 4.1 GHz,"# of CPU Cores: ""8"","
A6-6310 with Radeon™ R4 Graphics,4,Up to 2.4 GHz,"Max. Boost Clock: ""Up to 5.1 GHz"","
A6-5200 with Radeon™ HD 8400,4,,"L3 Cache: ""32 MB"""
A6-5200M with Radeon™ HD 8400,4,,"},"
A6-7310 with Radeon™ R4 Graphics,4,Up to 2.4 GHz,{
A4-7210 with Radeon™ R3 Graphics,4,Up to 2.2 GHz,"Name: ""AMD Ryzen™ 7 7736U​"","
A4 Micro-6400T with Radeon™ R3 Graphics,4,,"# of CPU Cores: ""8"","
A4-6210 with Radeon™ R3 Graphics,4,,"Max. Boost Clock: ""Up to 4.7 GHz"","
A4-5100 with Radeon™ HD 8330,4,,"L3 Cache: ""16 MB"""
A4-5000 with Radeon™ HD 8330,4,,"},"
Athlon™ 5370 APU with Radeon™ R3 Series,4,,{
Athlon™ 5350 APU with Radeon™ R3 Series,4,,"Name: ""AMD Ryzen™ 7 7735U"","
Athlon™ 5150 APU with Radeon™ R3 Series,4,,"# of CPU Cores: ""8"","
Sempron™ 3850 APU with Radeon™ R3 Series,4,,"Max. Boost Clock: ""Up to 4.75 GHz"","
E2-6110 with Radeon™ R2 Graphics,4,,"L3 Cache: ""16 MB"""
E2-3800 with Radeon™ HD 8280,4,,"},"
E2-7110 with Radeon™ R2 Graphics,4,Up to 1.8 GHz,{
AMD Athlon™ 641,4,,"Name: ""AMD Ryzen™ 7 7735HS"","
AMD Athlon™ 638,4,,"# of CPU Cores: ""8"","
AMD Athlon™ 631 (65W),4,,"Max. Boost Clock: ""Up to 4.75 GHz"","
AMD Phenom™ II 980,4,,"L3 Cache: ""16 MB"""
AMD Phenom™ II 975,4,,"},"
AMD Phenom™ II 965,4,,{
AMD Phenom™ II 960T,4,Up to 3.4 GHz,"Name: ""AMD Ryzen™ 7 7730U"","
AMD Phenom™ II 850,4,,"# of CPU Cores: ""8"","
AMD Phenom™ II 840,4,,"Max. Boost Clock: ""Up to 4.5 GHz"","
X940,4,,"L3 Cache: ""16 MB"""
N970,4,,"},"
N960,4,,{
B99,4,,"Name: ""AMD Ryzen™ 7 7700X"","
B97,4,,"# of CPU Cores: ""8"","
AMD Athlon™ 425e,3,,"Max. Boost Clock: ""Up to 5.4 GHz"","
AMD Athlon™ 460,3,,"L3 Cache: ""32 MB"""
N870,3,,"},"
P860,3,,{
B77,3,,"Name: ""AMD Ryzen™ 7 7700"","
B75,3,,"# of CPU Cores: ""8"","
AMD Ryzen™ 3 5125C,2,Up to 3 GHz,"Max. Boost Clock: ""Up to 5.3 GHz"","
AMD Ryzen™ 3 3250U,2,Up to 3.5 GHz,"L3 Cache: ""32 MB"""
AMD Ryzen™ 3 3250C,2,Up to 3.5 GHz,"},"
AMD Ryzen™ 3 3200U,2,Up to 3.5 GHz,{
AMD Athlon™ PRO 3145B,2,Up to 3.3 GHz,"Name: ""AMD Ryzen™ 9 PRO 6950H"","
AMD Athlon™ PRO 3045B,2,Up to 3.2 GHz,"# of CPU Cores: ""8"","
AMD Athlon™ Silver 3050e,2,Up to 2.8 GHz,"Max. Boost Clock: ""Up to 4.9 GHz"","
AMD Athlon™ PRO 300U Mobile Processor with Radeon™ Vega 3 Graphics,2,Up to 3.3 GHz,"L3 Cache: ""16 MB"""
AMD Athlon™ PRO 200U Mobile Processor with Radeon™ Vega 3 Graphics,2,Up to 3.2 GHz,"},"
AMD Ryzen™ 3 2200U,2,Up to 3.4 GHz,{
7th Gen AMD PRO A6-9500E APU,2,Up to 3.4 GHz,"Name: ""AMD Ryzen™ 7 PRO 6850U"","
7th Gen AMD PRO A6-9500 APU,2,Up to 3.8 GHz,"# of CPU Cores: ""8"","
6th Gen AMD PRO A6-8570E APU,2,Up to 3.4 GHz,"Max. Boost Clock: ""Up to 4.7 GHz"","
6th Gen AMD PRO A6-8570 APU,2,Up to 3.8 GHz,"L3 Cache: ""16 MB"""
6th Gen AMD PRO A6-8550B APU,2,Up to 4 GHz,"},"
A6 PRO-7400B with Radeon™ R5 Graphics,2,Up to 3.9 GHz,{
7th Gen AMD PRO A6-9500B APU,2,Up to 3.2 GHz,"Name: ""AMD Ryzen™ 7 PRO 6850H"","
7th Gen AMD PRO A6-8350B APU,2,Up to 3.7 GHz,"# of CPU Cores: ""8"","
7th Gen AMD PRO A6-7350B APU,2,Up to 3.6 GHz,"Max. Boost Clock: ""Up to 4.7 GHz"","
6th Gen AMD PRO A6-8530B APU,2,Up to 3.2 GHz,"L3 Cache: ""16 MB"""
6th Gen AMD PRO A6-8500B APU,2,Up to 3 GHz,"},"
A6 PRO-7050B with Radeon™ R4 Graphics,2,Up to 3 GHz,{
6th Gen AMD PRO A4-8350B APU,2,Up to 3.9 GHz,"Name: ""AMD Ryzen™ 9 6980HX"","
A4 PRO-7350B with Radeon™ R5 Graphics,2,Up to 3.8 GHz,"# of CPU Cores: ""8"","
A4 PRO-7300B with Radeon™ HD 8470D,2,Up to 4 GHz,"Max. Boost Clock: ""Up to 5 GHz"","
7th Gen AMD PRO A4-5350B APU,2,Up to 3.6 GHz,"L3 Cache: ""16 MB"""
7th Gen AMD PRO A4-4350B APU,2,Up to 2.9 GHz,"},"
AMD Athlon™ Gold 7220U,2,Up to 3.7 GHz,{
AMD Athlon™ Gold 7220C,2,Up to 3.7 GHz,"Name: ""AMD Ryzen™ 9 6980HS"","
AMD Athlon™ Silver 7120U,2,Up to 3.5 GHz,"# of CPU Cores: ""8"","
AMD Athlon™ Silver 7120C,2,Up to 3.5 GHz,"Max. Boost Clock: ""Up to 5 GHz"","
AMD Athlon™ Silver PRO 3125GE,2,Up to 3.4 GHz,"L3 Cache: ""16 MB"""
AMD Athlon™ Gold 3150U,2,Up to 3.3 GHz,"},"
AMD Athlon™ Gold 3150C,2,Up to 3.3 GHz,{
AMD Athlon™ Silver 3050U,2,Up to 3.2 GHz,"Name: ""AMD Ryzen™ 9 6900HX"","
AMD Athlon™ Silver 3050GE (OEM Only),2,Up to 3.4 GHz,"# of CPU Cores: ""8"","
AMD Athlon™  Silver 3050C,2,Up to 3.2 GHz,"Max. Boost Clock: ""Up to 4.9 GHz"","
AMD Athlon™ 3000G,2,,"L3 Cache: ""16 MB"""
AMD Athlon™ PRO 300GE,2,,"},"
AMD Athlon™ 320GE,2,,{
AMD Athlon™ 300U,2,Up to 3.3 GHz,"Name: ""AMD Ryzen™ 9 6900HS​"","
AMD Athlon™ 300GE,2,,"# of CPU Cores: ""8"","
AMD Athlon™ PRO 200GE,2,,"Max. Boost Clock: ""Up to 4.9 GHz"","
AMD Athlon™ 240GE,2,,"L3 Cache: ""16 MB"""
AMD Athlon™ 220GE,2,,"},"
AMD Athlon™ 200GE,2,,{
AMD 3020e,2,Up to 2.6 GHz,"Name: ""AMD Ryzen™ 7 6800U​"","
AMD 3015e,2,Up to 2.3 GHz,"# of CPU Cores: ""8"","
AMD 3015Ce,2,Up to 2.3 GHz,"Max. Boost Clock: ""Up to 4.7 GHz"","
7th Gen A9-9425 APU,2,Up to 3.7 GHz,"L3 Cache: ""16 MB"""
7th Gen A9-9420 APU,2,Up to 3.6 GHz,"},"
7th Gen A9-9410 APU,2,Up to 3.5 GHz,{
7th Gen A6-9550 APU,2,Up to 4 GHz,"Name: ""AMD Ryzen™ 7 6800HS"","
7th Gen A6-9500E APU,2,Up to 3.4 GHz,"# of CPU Cores: ""8"","
7th Gen A6-9500 APU,2,Up to 3.8 GHz,"Max. Boost Clock: ""Up to 4.7 GHz"","
A6-7470K with Radeon™ R5 Series,2,Up to 4 GHz,"L3 Cache: ""16 MB"""
A6-7400K with Radeon™ R5 Series,2,Up to 3.9 GHz,"},"
A6-6420K with Radeon™ HD 8470D,2,Up to 4.2 GHz,{
A6-6400K with Radeon™ HD 8470D,2,Up to 4.1 GHz,"Name: ""AMD Ryzen™ 7 6800H"","
7th Gen A6-9225 APU,2,Up to 3.1 GHz,"# of CPU Cores: ""8"","
7th Gen A6-9220C APU,2,Up to 2.7 GHz,"Max. Boost Clock: ""Up to 4.7 GHz"","
7th Gen A6-9220 APU,2,Up to 2.9 GHz,"L3 Cache: ""16 MB"""
7th Gen A6-9210 APU,2,Up to 2.8 GHz,"},"
A6-7000 with Radeon™ R4 Graphics,2,Up to 3 GHz,{
A6-5350M with Radeon™ HD 8450G,2,Up to 3.5 GHz,"Name: ""AMD Ryzen™ 9 5980HX"","
A6-8500P with Radeon™ R5 Graphics,2,Up to 3 GHz,"# of CPU Cores: ""8"","
A6-6420B with Radeon™ HD 8470D,2,Up to 4.2 GHz,"Max. Boost Clock: ""Up to 4.8 GHz"","
A6-6400B with Radeon™ HD 8470D,2,Up to 4.1 GHz,"L3 Cache: ""16 MB"""
A4-7300 with Radeon™ HD 8470D,2,Up to 4 GHz,"},"
A4-6320 with Radeon™ HD 8370D,2,Up to 4 GHz,{
A4-6300 with Radeon™ HD 8370D,2,Up to 3.9 GHz,"Name: ""AMD Ryzen™ 9 5980HS"","
7th Gen A4-9125 APU,2,Up to 2.6 GHz,"# of CPU Cores: ""8"","
7th Gen A4-9120C APU,2,Up to 2.4 GHz,"Max. Boost Clock: ""Up to 4.8 GHz"","
7th Gen A4-9120 APU,2,Up to 2.5 GHz,"L3 Cache: ""16 MB"""
Sempron™ 2650 APU with Radeon™ R3 Series,2,,"},"
7th Gen E2-9010 APU,2,Up to 2.2 GHz,{
E2-3000 with Radeon™ HD 8280,2,,"Name: ""AMD Ryzen™ 9 5900HX"","
E1-7010 with Radeon™ R2 Graphics,2,Up to 1.5 GHz,"# of CPU Cores: ""8"","
E1 Micro-6200T with Radeon™ R2 Graphics,2,,"Max. Boost Clock: ""Up to 4.6 GHz"","
E1-6010 with Radeon™ R2 Graphics,2,,"L3 Cache: ""16 MB"""
E1-2500 with Radeon™ HD 8240,2,,"},"
E1-2200 with Radeon™ HD 8210,2,,{
E1-2100 with Radeon™ HD 8210,2,,"Name: ""AMD Ryzen™ 9 5900HS"","
AMD Athlon™ 255e,2,,"# of CPU Cores: ""8"","
AMD Phenom™ II 570,2,,"Max. Boost Clock: ""Up to 4.6 GHz"","
AMD Phenom™ II 555,2,,"L3 Cache: ""16 MB"""
AMD Phenom™ II 565,2,,"},"
N660,2,,{
P650,2,,"Name: ""AMD Ryzen™ 7 5825U"","
N640,2,,"# of CPU Cores: ""8"","
B60,2,,"Max. Boost Clock: ""Up to 4.5 GHz"","
B59,2,,"L3 Cache: ""16 MB"""
B57,2,,"},"
AMD Phenom™ II 1045T,,Up to 3.2 GHz,{
B95,,,"Name: ""AMD Ryzen™ 7 5825C"","
,,,"# of CPU Cores: ""8"","
,,,"Max. Boost Clock: ""Up to 4.5 GHz"","
,,,"L3 Cache: ""16 MB"""
,,,"},"
,,,{
,,,"Name: ""AMD Ryzen™ 7 5800X3D"","
,,,"# of CPU Cores: ""8"","
,,,"Max. Boost Clock: ""Up to 4.5 GHz"","
,,,"L3 Cache: ""96 MB"""
,,,"},"
,,,{
,,,"Name: ""AMD Ryzen™ 7 5800XT"","
,,,"# of CPU Cores: ""8"","
,,,"Max. Boost Clock: ""Up to 4.8 GHz"","
,,,"L3 Cache: ""32 MB"""
,,,"},"
,,,{
,,,"Name: ""AMD Ryzen™ 7 5800X"","
,,,"# of CPU Cores: ""8"","
,,,"Max. Boost Clock: ""Up to 4.7 GHz"","
,,,"L3 Cache: ""32 MB"""
,,,"},"
,,,{
,,,"Name: ""AMD Ryzen™ 7 5800U"","
,,,"# of CPU Cores: ""8"","
,,,"Max. Boost Clock: ""Up to 4.4 GHz"","
,,,"L3 Cache: ""16 MB"""
,,,"},"
,,,{
,,,"Name: ""AMD Ryzen™ 7 5800HS"","
,,,"# of CPU Cores: ""8"","
,,,"Max. Boost Clock: ""Up to 4.4 GHz"","
,,,"L3 Cache: ""16 MB"""
,,,"},"
,,,{
,,,"Name: ""AMD Ryzen™ 7 5800H"","
,,,"# of CPU Cores: ""8"","
,,,"Max. Boost Clock: ""Up to 4.4 GHz"","
,,,"L3 Cache: ""16 MB"""
,,,"},"
,,,{
,,,"Name: ""AMD Ryzen™ 7 5700X3D"","
,,,"# of CPU Cores: ""8"","
,,,"Max. Boost Clock: ""Up to 4.1 GHz"","
,,,"L3 Cache: ""96 MB"""
,,,"},"
,,,{
,,,"Name: ""AMD Ryzen™ 7 5700X"","
,,,"# of CPU Cores: ""8"","
,,,"Max. Boost Clock: ""Up to 4.6 GHz"","
,,,"L3 Cache: ""32 MB"""
,,,"},"
,,,{
,,,"Name: ""AMD Ryzen™ 7 5700U"","
,,,"# of CPU Cores: ""8"","
