Nom,Cores,Potència,Caché
AMD Ryzen™ 7 8840HS,8,Up to 5.1 GHz,{
AMD Ryzen™ 7 8700G,8,Up to 5.1 GHz,"Name: ""AMD Ryzen™ Threadripper™ PRO 5975WX"","
AMD Ryzen™ 7 8700F,8,Up to 5 GHz,"# of CPU Cores: ""32"","
AMD Ryzen™ 9 PRO 7940HS,8,Up to 5.2 GHz,"Max. Boost Clock: ""Up to 4.5 GHz"","
AMD Ryzen™ 7 PRO 7840U,8,Up to 5.1 GHz,"L3 Cache: ""128 MB"""
AMD Ryzen™ 7 PRO 7840HS,8,Up to 5.1 GHz,"},"
AMD Ryzen™ 7 PRO 7735U,8,Up to 4.75 GHz,{
AMD Ryzen™ 9 7940HS,8,Up to 5.2 GHz,"Name: ""AMD Ryzen™ Threadripper™ PRO 3975WX"","
AMD Ryzen™ 7 7840U,8,Up to 5.1 GHz,"# of CPU Cores: ""32"","
AMD Ryzen™ 7 7840HS,8,Up to 5.1 GHz,"Max. Boost Clock: ""Up to 4.2 GHz"","
AMD Ryzen™ 7 7800X3D,8,Up to 5 GHz,"L3 Cache: ""128 MB"""
AMD Ryzen™ 7 7745HX,8,Up to 5.1 GHz,"},"
AMD Ryzen™ 7 7736U​,8,Up to 4.7 GHz,{
AMD Ryzen™ 7 7735U,8,Up to 4.75 GHz,"Name: ""AMD Ryzen™ Threadripper™ 7960X"","
AMD Ryzen™ 7 7735HS,8,Up to 4.75 GHz,"# of CPU Cores: ""24"","
AMD Ryzen™ 7 7730U,8,Up to 4.5 GHz,"Max. Boost Clock: ""Up to 5.3 GHz"","
AMD Ryzen™ 7 7700X,8,Up to 5.4 GHz,"L3 Cache: ""128 MB"""
AMD Ryzen™ 7 7700,8,Up to 5.3 GHz,"},"
AMD Ryzen™ 9 PRO 6950H,8,Up to 4.9 GHz,{
AMD Ryzen™ 7 PRO 6850U,8,Up to 4.7 GHz,"Name: ""AMD Ryzen™ Threadripper™ 3960X"","
AMD Ryzen™ 7 PRO 6850H,8,Up to 4.7 GHz,"# of CPU Cores: ""24"","
AMD Ryzen™ 9 6980HX,8,Up to 5 GHz,"Max. Boost Clock: ""Up to 4.5 GHz"","
AMD Ryzen™ 9 6980HS,8,Up to 5 GHz,"L3 Cache: ""128 MB"""
AMD Ryzen™ 9 6900HX,8,Up to 4.9 GHz,"},"
AMD Ryzen™ 9 6900HS​,8,Up to 4.9 GHz,{
AMD Ryzen™ 7 6800U​,8,Up to 4.7 GHz,"Name: ""AMD Ryzen™ Threadripper™ 2970WX"","
AMD Ryzen™ 7 6800HS,8,Up to 4.7 GHz,"# of CPU Cores: ""24"","
AMD Ryzen™ 7 6800H,8,Up to 4.7 GHz,"Max. Boost Clock: ""Up to 4.2 GHz"","
AMD Ryzen™ 9 5980HX,8,Up to 4.8 GHz,"L3 Cache: ""64 MB"""
AMD Ryzen™ 9 5980HS,8,Up to 4.8 GHz,"},"
AMD Ryzen™ 9 5900HX,8,Up to 4.6 GHz,{
AMD Ryzen™ 9 5900HS,8,Up to 4.6 GHz,"Name: ""AMD Ryzen™ Threadripper™ PRO 7965WX"","
AMD Ryzen™ 7 5825U,8,Up to 4.5 GHz,"# of CPU Cores: ""24"","
AMD Ryzen™ 7 5825C,8,Up to 4.5 GHz,"Max. Boost Clock: ""Up to 5.3 GHz"","
AMD Ryzen™ 7 5800X3D,8,Up to 4.5 GHz,"L3 Cache: ""128 MB"""
AMD Ryzen™ 7 5800XT,8,Up to 4.8 GHz,"},"
AMD Ryzen™ 7 5800X,8,Up to 4.7 GHz,{
AMD Ryzen™ 7 5800U,8,Up to 4.4 GHz,"Name: ""AMD Ryzen™ Threadripper™ PRO 5965WX"","
AMD Ryzen™ 7 5800HS,8,Up to 4.4 GHz,"# of CPU Cores: ""24"","
AMD Ryzen™ 7 5800H,8,Up to 4.4 GHz,"Max. Boost Clock: ""Up to 4.5 GHz"","
AMD Ryzen™ 7 5700X3D,8,Up to 4.1 GHz,"L3 Cache: ""128 MB"""
AMD Ryzen™ 7 5700X,8,Up to 4.6 GHz,"},"
AMD Ryzen™ 7 5700U,8,Up to 4.3 GHz,{
AMD Ryzen™ 7 5700G,8,Up to 4.6 GHz,"Name: ""AMD Ryzen™ 9 9950X"","
AMD Ryzen™ 7 5700,8,Up to 4.6 GHz,"# of CPU Cores: ""16"","
AMD Ryzen™ 9 4900HS,8,Up to 4.3 GHz,"Max. Boost Clock: ""Up to 5.7 GHz"","
AMD Ryzen™ 9 4900H,8,Up to 4.4 GHz,"L3 Cache: ""64 MB"""
AMD Ryzen™ 7 4980U Microsoft Surface® Edition,8,Up to 4.4 GHz,"},"
